title,directors,stars,genre,runtime,grade,synopsis
A Goofy Movie,Kevin Lima,Bill Farmer Jason Marsden Jim Cummings Kellie Martin,Animation/ Adventure/ Comedy,78 min,All,When Max makes a preposterous promise to a girl he has a crush on/ his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father/ Goofy.
Cinderella,Clyde Geronimi Wilfred Jackson Hamilton Luske,Ilene Woods James MacDonald Eleanor Audley Verna Felton,Animation/ Family/ Fantasy,74 min,All,When Cinderella's cruel stepmother prevents her from attending the Royal Ball/ she gets some unexpected help from the lovable mice Gus and Jaq/ and from her Fairy Godmother.
True Grit,Henry Hathaway,John Wayne Kim Darby Glen Campbell Jeremy Slate,Adventure/ Drama/ Western,128 min,12,A drunken/ hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory.
Bedknobs and Broomsticks,Robert Stevenson Ward Kimball,Angela Lansbury David Tomlinson Roddy McDowall Sam Jaffe,Animation/ Adventure/ Comedy,117 min,None,An apprentice witch/ three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.
Star Trek: The Motion Picture,Robert Wise,William Shatner Leonard Nimoy DeForest Kelley James Doohan,Adventure/ Mystery/ Sci-Fi,132 min,12,When an alien spacecraft of enormous power is spotted approaching Earth/ Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.
Alice in Wonderland,Clyde Geronimi Wilfred Jackson Hamilton Luske Jack Kinney,Kathryn Beaumont Ed Wynn Richard Haydn Sterling Holloway,Animation/ Adventure/ Family,75 min,All,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
The Great Dictator,Charles Chaplin,Charles Chaplin Paulette Goddard Jack Oakie Reginald Gardiner,Comedy/ Drama/ War,125 min,All,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Forbidden Planet,Fred M. Wilcox,Walter Pidgeon Anne Francis Leslie Nielsen Warren Stevens,Action/ Adventure/ Sci-Fi,98 min,None,A starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.
A Little Princess,Alfonso Cuarón,Liesel Matthews Eleanor Bron Liam Cunningham Rusty Schwimmer,Drama/ Family/ Fantasy,97 min,All,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
Hello Dolly!,Gene Kelly,Barbra Streisand Walter Matthau Michael Crawford Marianne McAndrew,Adventure/ Comedy/ Musical,146 min,None,"Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder/ convincing his niece/ his niece's intended/ and his two clerks to travel to New York City along the way."
Sleeping Beauty,Clyde Geronimi Les Clark Hamilton Luske Wolfgang Reitherman,Mary Costa Bill Shirley Eleanor Audley Verna Felton,Animation/ Family/ Fantasy,75 min,All,After being snubbed by the royal family/ a malevolent fairy places a curse on a princess which only a prince can break/ along with the help of three good fairies.
Kari-gurashi no Arietti,Hiromasa Yonebayashi,Amy Poehler Mirai Shida Ryûnosuke Kamiki Tatsuya Fujiwara,Animation/ Adventure/ Family,94 min,All,The Clock family are four-inch-tall people who live anonymously in another family's residence/ borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter/ Arrietty/ is discovered.
Chikin Liteul,Mark Dindal,Zach Braff Joan Cusack Garry Marshall Don Knotts,Animation/ Adventure/ Comedy,81 min,All,After ruining his reputation with the town/ a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.
